count,Date of Band,Location,Territory,Band Prefix,Band Suffix,Band Leg,Age,Sex,Genetic Blood Sample,Parasite Screen,DNA SEX,Date-#1 Mass,Weight-#1 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#2 Mass,Weight-#2 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#3 Mass,Weight-#3 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#4 Mass,Weight-#4 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#5 Mass,Weight-#5 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#6 Mass,Weight-#6 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#7 Mass,Weight-#7 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#8 Mass,Weight-#8 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#9 Mass,Weight-#9 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#10 Mass,Weight-#10 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#11 Mass,Weight-#11 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Misc.,Comments,Date-#11 Mass,Weight-#2 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm),Date-#12 Mass,Weight-#2 (g),LWC (mm),LLP-5 (mm),LLP-6 (mm),RECT. (mm)
436,7/1/2005,MEF,B4,1593,64442,,L,?,Blood sample,,F,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,7/5/2005,MEF,A8,1593,64443,,L,?,Blood sample,,M,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,7/5/2005,MEF,A8,1593,64444,,L,?,Blood sample,,F,,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,6/17/2005,MEF,A18,1593,64445,,Ad,F,Blood sample,,?,6/17/2005,74.5,,,,,6/28/2005,55,,,,,6/14/2006,67,133,,105?,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,6/20/2005,MEF,A27,1593,64446,,Ad,F,Blood sample,,?,6/20/2005,64,,,,,6/27/2005,57,,,,,5/10/2007,58.5,127,97,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,6/24/2005,MEF,A8,1593,64447,,Ad,F,Blood sample,,,6/24/2005,69,,,,,7/5/2007,61,129,93,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,MEF,B10,1593,64448,,Ad,F,Blood sample,,?,ENTRY?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,7/1/2005,MEF,B4,1593,64449,,L,?,Blood sample,,F,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,7/1/2005,MEF,B4,1593,64450,,L,?,Blood sample,,M,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,7/5/2005,MEF,A10,1593,64451,,L,?,Blood sample,,F,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,7/5/2005,MEF,A10,1593,64452,,L,?,Blood sample,,F? I first showed M,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,7/5/2005,MEF,A10,1593,64453,,L,?,Blood sample,,F,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,7/6/2005,MEF,A27,1593,64454,,L,?,Blood sample,,F,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,7/6/2005,MEF,A27,1593,64455,,L,?,Blood sample,,M,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,7/8/2005,Hayman Fire,CN7,1593,64456,,Ad,F,Blood sample,,?,7/8/2005,54,128,96,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,7/12/2005,MEF,A2,1593,64457,,AD,F,Blood sample,,,7/12/2005,59.5,131,97,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,7/7/2005,Hayman Fire,CS1_2,1593,64458,,L,?,Blood sample,,M,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,7/7/2005,Hayman Fire,CS1_2,1593,64459,,L,?,Blood sample,,M,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,6/27/2005,MEF,B11,1593,64460,,Ad,F,Blood sample,,?,6/27/2005,63.5,,,,,7/5/2005,,123,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,6/27/2005,MEF,B11,1593,64461,,Ad,M,Blood sample,,?,6/27/2005,51.5,123,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,7/5/2005,MEF,A8,1593,64462,,L,?,Blood sample,,F,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,7/6/2005,MEF,A13,1593,64463,,L,?,Blood sample,,F,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,7/6/2005,MEF,A13,1593,64464,,L,?,Blood sample,,M,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,7/6/2005,MEF,A13,1593,64465,,L,?,Blood sample,,M,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,7/10/2005,MEF,B1,1593,64466,,L,?,Blood sample,,M,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,7/12/2005,MEF,B1,1593,64467,,L,?,Blood sample,,M,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,7/12/2005,MEF,B1,1593,64468,,L,?,Blood sample,,F,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,7/11/2005,MEF,B10,1593,64469,,L,?,Blood sample,,M,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,7/11/2005,MEF,B10,1593,64470,,L,?,Blood sample,,M,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,7/12/2005,MEF,B17,1593,64471,,L,?,Blood sample,,M,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,7/12/2005,MEF,A2,1593,64472,,L,?,Blood sample,,F,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,7/12/2005,MEF,B14,1593,64473,,L,?,Blood sample,,F,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,7/12/2005,MEF,B14,1593,64474,,L,?,Blood sample,,F,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,7/14/2005,Hayman Fire,CN8,1593,64475,,Ad,F,Blood sample,,?,7/14/2005,50,131,92,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,7/14/2005,Hayman Fire,CN8,1593,64476,,L,?,Blood sample,,M,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,7/15/2005,MEF,A2,1593,64477,,L,?,Blood sample,,M,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,7/29/2005,Hayman Fire,CN2,1593,64478,,L,?,Blood sample,,M,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,7/29/2005,Hayman Fire,CN2,1593,64479,,L,?,Blood sample,,?,,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,7/7/2005,MEF,B13,1593,64480,,L,?,Blood sample,,M,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,7/7/2005,MEF,B13,1593,64481,,L,?,Blood sample,,?,,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,7/7/2005,MEF,B13,1593,64482,,L,?,Blood sample,,M,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,7/7/2005,Hayman Fire,CS1_2,1593,64485,,L,?,Blood sample,,F,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,7/14/2005,Hayman Fire,CN8,1593,64486,,L,?,Blood sample,,F,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,6/5/2006,MEF,B6,1593,64487,,Ad,F,Blood sample,,F,6/5/2006,84,,,,,7/10/2006,57,132,97,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,6/6/2006,MEF,B2,1593,64488,,Ad,F,,,,6/6/2006,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,6/19/2006,MEF,B7,1593,64489,,Ad,F,,,F,6/19/2006,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8/2008,56,130,88,98,58,,,,,,
482,6/19/2006,MEF,B10,1593,64490,R,Ad,M,Blood sample; 7-2-13,7/2/2013,M,6/19/2006,59,127,104,,,6/15/2010,55.5,130,96,106,60,7/11/2011,55,,93,105,60,6/15/2012,54,131,98,107,61,7/2/2013,54.5,131,97,107,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helper Male ??,,,,,,,,,,,,
483,6/20/2006,MEF,B10,1593,64491,,Ad,F,,,,6/20/2006,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,6/22/2006,MEF,B14,1593,64492,,Ad,F,Blood sample,,M?!,6/22/2006,68.5,130,98,,,7/6/2006,130,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,6/30/2006,MEF,A11,1593,64493,,L,?,Blood sample,,F,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,6/30/2006,MEF,A11,1593,64494,,L,?,Blood sample,,M,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,6/30/2006,MEF,B4,1593,64495,,L,?,Blood sample,,M,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,6/30/2006,MEF,B4,1593,64496,,L,?,Blood sample,,F,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,6/30/2006,MEF,B4,1593,64497,,L,?,Blood sample,,F,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,6/30/2006,Hayman Fire,CN8,1593,64498,,Ad,M,Blood sample,,M!,6/30/2006,47,124,100,,,7/21/2007,60,130,85,,61,6/18/2009,51,130,99,109,,7/12/2010,47.5,131,100,107,63,6/19/2013,54,133,97,108,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,7/5/2006,MEF,A2,1593,64499,,L,?,Blood sample,,M,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,7/10/2004,Hayman Fire,CN4,1593,64500,,L,?,Blood sample,,F,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,5/31/2006,MEF,A8,1593,64501,,Ad,F,Blood sample,,M?!,5/31/2006,78,128,89,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,6/7/2006,MEF,A11,1593,64502,,Ad,F,Blood sample,,F,6/7/2006,71,132,95,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,6/7/2006,Hayman Fire,CN8,1593,64503,,Ad,F,Blood sample,,M!,6/7/2006,54.5,132,89,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,6/30/2006,MEF,A20,1593,64504,,L,?,Blood sample,,M,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,6/30/2006,MEF,A20,1593,64505,,L,?,Blood sample,,M,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,6/30/2006,Hayman Fire,CN2,1593,64506,,Ad,M,Blood sample; 7/6/15,,M,6/30/2006,48.5,133,94,,59,7/11/2006,46,131,99,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,7/5/2006,MEF,A18,1593,64507,,L,?,Blood sample,,F,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,7/5/2006,MEF,A18,1593,64508,,L,?,Blood sample,,F,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,7/5/2006,MEF,A41,1593,64509,,L,?,Blood sample,,M,,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,7/5/2006,MEF,A41,1593,64510,,L,?,Blood sample,,M,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,6/5/2006,MEF,B13,1593,64511,,Ad,F,Blood sample,,F,7/6/2006,44,131,98,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,6/7/2006,MEF,A4,1593,64512,,Ad,F,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,6/9/2006,MEF,A18,1593,64513,,Ad,F,Blood sample,,F,6/9/2006,62.5,,,,,7/5/2006,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,6/13/2006,MEF,B5,1593,64514,,Ad,M,Blood sample,6/20/2013,M,6/13/2006,60,132,104,,48,6/26/2006,54.5,,,,,6/2/2007,58,120?,92?,,52?,6/2/2007,58,120?,92?,,52?,6/26/2009,55.5,130,97,106,59,7/10/2011,62.5,128,96,104,56,6/20/2013,58.5,129,95,105,59,6/10/2014,53,131,99,108,60,6/15/2015,54,129,99,108,59,,,,,,,,,,,,,,,,,,,,,,,,,,
507,6/30/2006,Hayman Fire,CN7,1593,64515,,Ad,F,Blood sample,,F,6/30/2006,46.5,130,96,,55,7/11/2006,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,6/30/2006,Hayman Fire,CN7,1593,64516,,Ad,M,Blood sample,,M,6/30/2006,51.5,135,88,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,7/5/2006,MEF,A8,1593,64517,,L,?,Blood sample,,M,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,7/5/2006,MEF,A8,1593,64518,,L,?,Blood sample,,F,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,7/6/2006,Hayman Fire,CS4,1593,64519,,L,?,Blood sample,,M,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,7/6/2006,MEF,B14,1593,64520,,L,?,Blood sample,,M,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,6/27/2006,MEF,B13,1593,64521,,AD,M,,,M,6/27/2006,57,135,98,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,7/5/2006,MEF,A2,1593,64522,,L,?,Blood sample,,F,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,7/6/2006,MEF,B6,1593,64523,,L,?,Blood sample,,F,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,7/6/2006,MEF,B6,1593,64524,,L,?,Blood sample,,M,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,7/6/2006,Hayman Fire,CS4,1593,64525,,L,?,Blood sample,,F,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,7/7/2006,MEF,B13,1593,64526,,L,?,Blood sample,,M,,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,7/7/2006,MEF,B13,1593,64527,,L,?,Blood sample,,M,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,7/14/2006,Hayman Fire,CN7,1593,64528,,L,?,Blood sample,,M,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,7/14/2006,Hayman Fire,CN7,1593,64529,,L,?,Blood sample,,M,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,6/8/2007,HAYMAN,CN8,1593,64530,,AD,F,Blood sample,,F,7/16/2007,57,119,92,98,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,6/21/2006,MEF,A2,1593,64531,,Ad,M,Blood sample,,M,6/21/2006,52,130,93,,59,6/25/2009,50,128,92,102,61,5/6/2010,54.5,130,93,102,58,6/23/2010,58,129,90,100,61,7/13/2010,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,6/7/2006,MEF,A18,1593,64532,,Ad,M,Blood sample,,M,6/7/2006,52,133,98,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,7/6/2006,Hayman Fire,CS4,1593,64533,,Ad,F,,,F,7/6/2006,52.5,133,94,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,7/6/2006,Hayman Fire,CS4,1593,64534,,Ad,M,Blood sample,,M,7/6/2006,44.5,130,95,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,6/19/2007,MEF,A41,1593,64535,,AD,F,NO BLOOD!,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,6/20/2007,MEF,A8,1593,64536,,AD,F,Blood sample,,F,7/3/2007,58.5,127,96,106,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,6/29/2007,MEF,B11,1593,64537,,AD,F,Blood sample,,F,6/29/2007,70,126,95,101,60,7/17/2007,57,,94,101,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,7/2/2007,MEF,A8,1593,64538,,L,?,Blood sample,,M,7/2/2007,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,7/2/2007,MEF,A8,1593,64539,,L,?,Blood sample,,F,7/2/2007,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,7/2/2007,MEF,A8,1593,64540,,L,?,Blood sample,,F,7/2/2007,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,7/9/2007,MEF,A11,1593,64541,,L,?,Blood sample,,F,7/9/2007,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,7/12/2007,HAYMAN,CS4,1593,64542,L,AD,M,Blood sample; 6-27-13,6/27/2013,M,7/12/2007,49,127,92,101,60,6/26/2009,52,133,95,105,60,6/23/2011,59.5,128,96,108,59,6/27/2013,52.5,133,91,108,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,7/13/2007,MEF,A29,1593,64543,,L,?,Blood sample,,M,7/13/2007,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,7/17/2007,MEF,B11,1593,64544,,L,?,Blood sample,,F,7/17/2007,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,7/19/2007,MEF,A41,1593,64545,,L,?,Blood sample,,F,7/19/2007,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,7/19/2007,MEF,B7,1593,64546,,AD,F,Blood sample,,F,7/19/2007,52.5,130,95,105,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,7/20/2007,MEF,B7,1593,64547,,L,?,Blood sample,,F,7/20/2007,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
